SECTNO,SUBJECT,TEXT
32.200,Scope of subpart.,This subpart provides policies and procedures for commercial financing arrangements under commercial purchases pursuant to Part 12.
32.201,Statutory authority.,10 U.S.C. 2307(f) and 41 U.S.C. 4505 provide that payment for commercial items may be made under such terms and conditions as the head of the agency determines are appropriate or customary in the commercial marketplace and are in the best interest of the United States.
32.202,General.,
32.202-1,Policy.,"(a) Use of financing in contracts. It is the responsibility of the contractor to provide all resources needed for performance of the contract. Thus, for purchases of commercial items, financing of the contract is normally the contractor's responsibility. However, in some markets the provision of financing by the buyer is a commercial practice. In these circumstances, the contracting officer may include appropriate financing terms in contracts for commercial purchases when doing so will be in the best interest of the Government. (b) Authorization. Commercial interim payments and commercial advance payments may be made under the following circumstances— (1) The contract item financed is a commercial supply or service; (2) The contract price exceeds the simplified acquisition threshold; (3) The contracting officer determines that it is appropriate or customary in the commercial marketplace to make financing payments for the item; (4) Authorizing this form of contract financing is in the best interest of the Government (see paragraph (e) of this subsection); (5) Adequate security is obtained (see 32.202-4); (6) Prior to any performance of work under the contract, the aggregate of commercial advance payments shall not exceed 15 percent of the contract price; (7) The contract is awarded on the basis of competitive procedures or, if only one offer is solicited, adequate consideration is obtained (based on the time value of the additional financing to be provided) if the financing is expected to be substantially more advantageous to the offeror than the offeror's normal method of customer financing; and (8) The contracting officer obtains concurrence from the payment office concerning liquidation provisions when required by 32.206(e). (c) Difference from non-commercial financing. Government financing of commercial purchases under this subpart is expected to be different from that used for non-commercial purchases under subpart 32.1 and its related subparts. While the contracting officer may adapt techniques and procedures from the non-commercial subparts for use in implementing commercial contract financing arrangements, the contracting officer must have a full understanding of effects of the differing contract environments and of what is needed to protect the interests of the Government in commercial contract financing. (d) Unusual contract financing. Any contract financing arrangement not in accord with the requirements of agency regulations or this part is unusual contract financing and requires advance approval in accordance with agency procedures. If not otherwise specified, such unusual contract financing shall be approved by the head of the contracting activity. (e) Best interest of the Government. The statutes cited in 32.201 do not allow contract financing by the Government unless it is in the best interest of the United States. Agencies may establish standards to determine whether contract financing is in the best interest of the Government. These standards may be for certain types of procurements, certain types of items, or certain dollar levels of procurements."
32.202-2,Types of payments for commercial item purchases.,"These definitions incorporate the requirements of the statutory commercial financing authority and the implementation of the Prompt Payment Act. Commercial advance payment, as used in this subsection, means a payment made before any performance of work under the contract. The aggregate of these payments shall not exceed 15 percent of the contract price. These payments are contract financing payments for prompt payment purposes ( i.e., not subject to the interest penalty provisions of the Prompt Payment Act in accordance with subpart 32.9). These payments are not subject to subpart 32.4, Advance Payments for Non-Commercial Items. Commercial interim payment (See 32.001.) Delivery payment (See 32.001)."
32.202-3,Conducting market research about financing terms.,"Contract financing may be a subject included in the market research conducted in accordance with part 10. If market research for contract financing is conducted, the contracting officer should consider— (a) The extent to which other buyers provide contract financing for purchases in that market; (b) The overall level of financing normally provided; (c) The amount or percentages of any payments equivalent to commercial advance payments (see 32.202-2); (d) The basis for any payments equivalent to commercial interim payments (see 32.001), as well as the frequency, and amounts or percentages; and (e) Methods of liquidation of contract financing payments and any special or unusual payment terms applicable to delivery payments (see 32.001)."
32.202-4,Security for Government financing.,"(a) Policy. (1) 10 U.S.C. 2307(f) and 41 U.S.C. 4505 require the Government to obtain adequate security for Government financing. The contracting officer shall specify in the solicitation the type of security the Government will accept. If the Government is willing to accept more than one form of security, the offeror shall be required to specify the form of security it will provide. If acceptable to the contracting officer, the resulting contract shall specify the security (see 32.206(b)(1)(iv)). (2) Subject to agency regulations, the contracting officer may determine the offeror's financial condition to be adequate security, provided the offeror agrees to provide additional security should that financial condition become inadequate as security (see paragraph (c) of the clause at 52.232-29, Terms for Financing of Purchases of Commercial Items). Assessment of the contractor's financial condition shall consider both net worth and liquidity. If the contracting officer finds the offeror's financial condition is not adequate security, the contracting officer shall require other adequate security. Paragraphs (b), (c), and (d) of this subsection list other (but not all) forms of security that the contracting officer may find acceptable. (3) The value of the security must be at least equal to the maximum unliquidated amount of contract financing payments to be made to the contractor. The value of security may be adjusted periodically during contract performance, as long as it is always equal to or greater than the amount of unliquidated financing. (b) Paramount lien. (1) The statutes cited in 32.201 provide that if the Government's security is in the form of a lien, such lien is paramount to all other liens and is effective immediately upon the first payment, without filing, notice, or other action by the United States. (2) When the Government's security is in the form of a lien, the contract shall specify what the lien is upon, e.g., the work in process, the contractor's plant, or the contractor's inventory. Contracting officers may be flexible in the choice of assets. The contract must also give the Government a right to verify the existence and value of the assets. (3) Provision of Government financing shall be conditioned upon a contractor certification that the assets subject to the lien are free from any prior encumbrances. Prior liens may result from such things as capital equipment loans, installment purchases, working capital loans, various lines of credit, and revolving credit arrangements. (c) Other assets as security. Contracting officers may consider the guidance at 28.203-2, 28.203-3, and 28.204 in determining which types of assets may be acceptable as security. For the purpose of applying the guidance in part 28 to this subsection, the term “surety” and/or “individual surety” should be interpreted to mean “offeror” and/or “contractor.” (d) Other forms of security. Other acceptable forms of security include— (1) An irrevocable letter of credit from a federally insured financial institution; (2) A bond from a surety, acceptable in accordance with part 28 (note that the bond must guarantee repayment of the unliquidated contract financing); (3) A guarantee of repayment from a person or corporation of demonstrated liquid net worth, connected by significant ownership to the contractor; or (4) Title to identified contractor assets of adequate worth. (e) Management of risk and security. In establishing contract financing terms, the contracting officer must be aware of certain risks. For example, very high amounts of financing early in the contract (front-end loading) may unduly increase the risk to the Government. The security and the amounts and timing of financing payments must be analyzed as a whole to determine whether the arrangement will be in the best interest of the Government."
32.203,Determining contract financing terms.,"When the criteria in 32.202-1(b) are met, the contracting officer may either specify the financing terms in the solicitation (see 32.204) or permit each offeror to propose its own customary financing terms (see 32.205). When the contracting officer has sufficient information on financing terms that are customary in the commercial marketplace for the item, those terms may be specified in the solicitation."
32.204,Procedures for contracting officer-specified commercial contract financing.,"The financing terms shall be included in the solicitation. Contract financing shall not be a factor in the evaluation of resulting proposals, and proposals of alternative financing terms shall not be accepted (but see 14.208 and 15.206 concerning amendments of solicitations). However, an offer stating that the contracting officer-specified contract financing terms will not be used by the offeror does not alter the evaluation of the offer, nor does it render the offer nonresponsive or otherwise unacceptable. In the event of award to an offeror who declined the proposed contract financing, the contract financing provisions shall not be included in the resulting contract. Contract financing shall not be a basis for adjusting offerors' proposed prices, because the effect of contract financing is reflected in each offeror's proposed prices."
32.205,Procedures for offeror-proposed commercial contract financing.,"(a) Under this procedure, each offeror may propose financing terms. The contracting officer must then determine which offer is in the best interests of the United States. (b) Solicitations. The contracting officer must include in the solicitation the provision at 52.232-31, Invitation to Propose Financing Terms. The contracting officer must also— (1) Specify the delivery payment (invoice) dates that will be used in the evaluation of financing proposals; and (2) Specify the interest rate to be used in the evaluation of financing proposals (see paragraph (c)(4) of this section). (c) Evaluation of proposals. (1) When contract financing terms vary among offerors, the contracting officer must adjust each proposed price for evaluation purposes to reflect the cost of providing the proposed financing in order to determine the total cost to the Government of that particular combination of price and financing. (2) Contract financing results in the Government making payments earlier than it otherwise would. In order to determine the cost to the Government of making payments earlier, the contracting officer must compute the imputed cost of those financing payments and add it to the proposed price to determine the evaluated price for each offeror. (3) The imputed cost of a single financing payment is the amount of the payment multiplied by the annual interest rate, multiplied by the number of years, or fraction thereof, between the date of the financing payment and the date the amount would have been paid as a delivery payment. The imputed cost of financing is the sum of the imputed costs of each of the financing payments. (4) The contracting officer must calculate the time value of proposal-specified contract financing arrangements using as the interest rate the nominal discount rate specified in Appendix C of the Office of Management and Budget (OMB) Circular A-94, “Guidelines and Discount Rates for Benefit-Cost Analysis of Federal Programs”, appropriate to the period of contract financing. Where the period of proposed financing does not match the periods in the OMB Circular, the interest rate for the period closest to the finance period shall be used. Appendix C is updated yearly, and is available from the Office of Economic Policy in the Office of Management and Budget (OMB)."
32.206,Solicitation provisions and contract clauses.,"(a) The contract shall contain the paragraph entitled “Payment” of the clause at 52.212-4, Contract Terms and Conditions—Commercial Items. If the contract will provide for contract financing, the contracting officer shall construct a solicitation provision and contract clause. This solicitation provision shall be constructed in accordance with 32.204 or 32.205. If the procedure at 32.205 is used, the solicitation provision at 52.232-31, Invitation to Propose Financing Terms, shall be included. The contract clause shall be constructed in accordance with the requirements of this subpart and any agency regulations. (b) Each contract financing clause shall include: (1) A description of the— (i) Computation of the financing payment amounts (see paragraph (c) of this section); (ii) Specific conditions of contractor entitlement to those financing payments (see paragraph (c) of this section); (iii) Liquidation of those financing payments by delivery payments (see paragraph (e) of this section); (iv) Security the contractor will provide for financing payments and any terms or conditions specifically applicable thereto (see 32.202-4); and (v) Frequency, form, and any additional content of the contractor's request for financing payment (in addition to the requirements of the clause at 52.232-29, Terms for Financing of Purchases of Commercial Items; and (2) Unless agency regulations authorize alterations, the unaltered text of the clause at 52.232-29, Terms for Financing of Purchases of Commercial Items. (c) Computation of amounts, and contractor entitlement provisions. (1) Contracts shall provide that delivery payments shall be made only for completed supplies and services accepted by the Government in accordance with the terms of the contract. Contracts may provide for commercial advance and commercial interim payments based upon a wide variety of bases, including (but not limited to) achievement or occurrence of specified events, the passage of time, or specified times prior to the delivery date(s). The basis for payment must be objectively determinable. The clause written by the contracting officer shall specify, to the extent access is necessary, the information and/or facilities to which the Government shall have access for the purpose of verifying the contractor's entitlement to payment of contract financing. (2) If the contract is awarded using the offeror-proposed procedure at 32.205, the clause constructed by the contracting officer under paragraph (b)(1) of this section shall contain the following: (i) A statement that the offeror's proposed listing of earliest times and greatest amounts of projected financing payments submitted in accordance with paragraph (d)(2) of the provision at 52.232-31, Invitation to Propose Financing Terms, is incorporated into the contract, and (ii) A statement that financing payments shall be made in the lesser amount and on the later of the date due in accordance with the financing terms of the contract, or in the amount and on the date projected in the listing of earliest times and greatest amounts incorporated in the contract. (3) If the security accepted by the contracting officer is the contractor's financial condition, the contracting officer shall incorporate in the clause constructed under paragraph (b)(1) of this section the following— (i) A statement that the contractor's financial condition has been accepted as adequate security for commercial financing payments; and (ii) A statement that the contracting officer may exercise the Government's rights to require other security under paragraph (c), Security for Government Financing, of the clause at 52.232-29, Terms for Financing of Purchases of Commercial Items, in the event the contractor's financial condition changes and is found not to be adequate security. (d) Instructions for multiple appropriations. If contract financing is to be computed for the contract as a whole, and if there is more than one appropriation account (or subaccount) funding payments under the contract, the contracting officer shall include, in the contract, instructions for distribution of financing payments to the respective funds accounts. Distribution instructions and contract liquidation instructions must be mutually consistent. (e) Liquidation. Liquidation of contract financing payments shall be on the same basis as the computation of contract financing payments; that is, financing payments computed on a whole contract basis shall be liquidated on a whole contract basis; and a payment computed on a line item basis shall be liquidated against that line item. If liquidation is on a whole contract basis, the contracting officer shall use a uniform liquidation percentage as the liquidation method, unless the contracting officer obtains the concurrence of the cognizant payment office that the proposed liquidation provisions can be executed by that office, or unless agency regulations provide alternative liquidation methods. (f) Prompt payment for commercial purchase payments. The provisions of subpart 32.9, Prompt Payment, apply to contract financing and invoice payments for commercial purchases in the same manner they apply to non-commercial purchases. The contracting officer is responsible for including in the contract all the information necessary to implement prompt payment. In particular, contracting officers must be careful to clearly differentiate in the contract between contract financing and invoice payments and between items having different prompt payment times. (g) Installment payment financing for commercial items. Contracting officers may insert the clause at 52.232-30, Installment Payments for Commercial Items, in solicitations and contracts in lieu of constructing a specific clause in accordance with paragraphs (b) through (e) of this section, if the contract action qualifies under the criteria at 32.202-1(b) and installment payments for the item are either customary or are authorized in accordance with agency procedures. (1) Description. Installment payment financing is payment by the Government to a contractor of a fixed number of equal interim financing payments prior to delivery and acceptance of a contract item. The installment payment arrangement is designed to reduce administrative costs. However, if a contract will have a large number of deliveries, the administrative costs may increase to the point where installment payments are not in the best interests of the Government. (2) Authorized types of installment payment financing and rates. Installment payments may be made using the clause at 52.232-30, Installment Payments for Commercial Items, either at the 70 percent financing rate cited in the clause or at a lower rate in accordance with agency procedures. (3) Calculating the amount of installment financing payments. The contracting officer shall identify in the contract schedule those items for which installment payment financing is authorized. Monthly installment payment amounts are to be calculated by the contractor pursuant to the instructions in the contract clause only for items authorized to receive installment payment financing. (4) Liquidating installment payments. If installment payments have been made for an item, the amount paid to the contractor upon acceptance of the item by the Government shall be reduced by the amount of installment payments made for the item. The contractor's request for final payment for each item is required to show this calculation."
32.207,Administration and payment of commercial financing payments.,"(a) Responsibility. The contracting officer responsible for administration of the contract shall be responsible for review and approval of contract financing requests. (b) Approval of financing requests. Unless otherwise provided in agency regulations, or by agreement with the appropriate payment official— (1) The contracting officer shall be responsible for receiving, approving, and transmitting all contract financing requests to the appropriate payment office; and (2) Each approval shall specify the amount to be paid, necessary contractual information, and the account(s) (see 32.206(d)) to be charged for the payment. (c) Management of security. After contract award, the contracting officer responsible for approving requests for financing payments shall be responsible for determining that the security continues to be adequate. If the contractor's financial condition is the Government's security, this contracting officer is also responsible for monitoring the contractor's financial condition."
32.300,Scope of subpart.,This subpart prescribes policies and procedures for designated agencies' guarantees of loans made by private financial institutions to borrowers performing contracts related to national defense (see 30.102).
32.301,Definitions.,"As used in this subpart— Borrower means a contractor, subcontractor (at any tier), or other supplier who receives a guaranteed loan. Federal Reserve Board means the Board of Governors of the Federal Reserve System. Guaranteed loan or V loan means a loan, revolving credit fund, or other financial arrangement made pursuant to Regulation V of the Federal Reserve Board, under which the guaranteeing agency is obligated, on demand of the lender, to purchase a stated percentage of the loan and to share any losses in the amount of the guaranteed percentage. Guaranteeing agency means any agency that the President has authorized to guarantee loans, through Federal Reserve Banks, for expediting national defense production."
32.302,Authority.,"Congress has authorized Federal Reserve Banks to act, on behalf of guaranteeing agencies, as fiscal agents of the United States in the making of loan guarantees for defense production (Section 301, Defense Production Act of 1950 (50 U.S.C. App. 2091)). By Executive Order 10480, August 14, 1953 (3 CFR 1949-53), as amended, the President has designated the following agencies as guaranteeing agencies: (a) Department of Defense. (b) Department of Energy. (c) Department of Commerce. (d) Department of the Interior. (e) Department of Agriculture. (f) General Services Administration. (g) National Aeronautics and Space Administration."
32.303,General.,"(a) Section 301 of the Defense Production Act authorizes loan guarantees for contract performance or other operations related to national defense, subject to amounts annually authorized by Congress on the maximum obligation of any guaranteeing agency under any loan, discount, advance, or commitment in connection therewith, entered into under section 301. (See 50 U.S.C. App. 2091 for statutory limitations and exceptions concerning the authorization of loan guarantee amounts and the use of loan guarantees for the prevention of insolvency or bankruptcy.) (b) The guarantee shall be for less than 100 percent of the loan unless the agency determines that— (1) The circumstances are exceptional; (2) The operations of the contractor are vital to the national defense; and (3) No other suitable means of financing are available. (c) Loan guarantees are not issued to other agencies of the Government. (d) Guaranteed loans are essentially the same as conventional loans made by private financial institutions, except that the guaranteeing agency is obligated, on demand of the lender, to purchase a stated percentage of the loan and to share any losses in the amount of the guaranteed percentage. It is the responsibility of the private financial institution to disburse and collect funds and to administer the loan. Under Regulation V of the Federal Reserve Board (12 CFR 245), any private financing institution may submit an application to the Federal Reserve Bank of its district for guarantee of a loan or credit. (e) Federal Reserve Banks will make the loan guarantee agreements on behalf of the guaranteeing agencies. (f) Under Section 302(c) of Executive Order 10480, August 14, 1953 (3 CFR 1949-53), as amended, all actions and operations of Federal Reserve Banks, as fiscal agents, are subject to the supervision of the Federal Reserve Board. The Federal Reserve Board is authorized to prescribe the following, after consultation with the heads of guaranteeing agencies: (1) Regulations governing the actions and operations of fiscal agents. (2) Rates of interest, guarantee and commitment fees, and other charges that may be made for loans, discounts, advances, or commitments guaranteed by the guaranteeing agencies through the Federal Reserve Banks. These prescriptions may be in the form of specific rates or limits, or in other forms. (3) Uniform forms and procedures to be used in connection with the guarantees. (g) The guaranteeing agency is responsible for certifying eligibility for the guarantee and fixing the maximum dollar amount and maturity date of the guaranteed loan to meet the contractor's requirement for financing performance of the defense production contract on hand at the time the guarantee application is submitted."
32.304,Procedures.,
32.304-1,Application for guarantee.,"(a) A contractor, subcontractor, or supplier that needs operating funds to perform a contract related to national defense may apply to a financing institution for a loan. If the financing institution is willing to extend credit, but considers a Government guarantee necessary, the institution may apply to the Federal Reserve Bank of its district for the guarantee. Application forms and guidance are available at all Federal Reserve Banks. (b) The Federal Reserve Bank will promptly send a copy of the application, including a list of the relevant defense contracts held by the contractor, to the Federal Reserve Board. The Board will transmit the application and the list of contracts to the interested guaranteeing agency, so that the agency can determine the eligibility of the contractor. (c) To expedite the process, the Federal Reserve Bank may, pursuant to instructions of a guaranteeing agency, submit lists of the defense contracts to the interested contracting officers. (d) While eligibility is being determined, the Federal Reserve Bank will make any necessary credit investigations to supplement the information furnished by the applicant financing institution in order to— (1) Expedite necessary defense financing; and (2) Protect the Government against monetary loss. (e) The Federal Reserve Bank will send its report and recommendation to the Federal Reserve Board. The Board will transmit them to the interested guaranteeing agency."
32.304-2,Certificate of eligibility.,"(a) The contracting officer shall prepare the certificate of eligibility for a contract that the contracting officer deems to be of material consequence, when— (1) The contract financing office requests it; (2) Another interested agency requests it; or (3) The application for a loan guarantee relates to a contract or subcontract within the cognizance of the contracting officer. (b) The agency shall evaluate the relevant data, including the certificate of eligibility, the accompanying data, and any other relevant information on the contractor's financial status and performance, to determine whether authorization of a loan guarantee would be in the Government's interest. (c) If the contractor has several major national defense contracts, it is normally not necessary to evaluate the eligibility of relatively minor contracts. The determination of eligibility should be processed, without delay, based on the preponderance of the amount of the contracts. (d) The certificate of eligibility shall include the following determinations: (1) The supplies or services to be acquired are essential to the national defense. (2) The contractor has the facilities and the technical and management ability required for contract performance. (3) There is no practicable alternate source for the acquisition without prejudice to the national defense. (This statement shall not be included if the contractor is a small business concern.) (e) The contracting officer shall consider the following factors in determining if a practicable alternate source exists: (1) Prejudice to the national defense, because reletting of a contract with another source would conflict with a major policy on defense acquisition; e.g., policies relating to the mobilization base. (2) The urgency of contract performance schedules. (3) The technical ability and facilities of other potential sources. (4) The extent to which other sources would need contract financing to perform. (5) The willingness of other sources to enter into contracts. (6) The time and expense involved in repurchasing for contracts or parts of contracts. This may include potential claims under a termination for convenience or delays incident to default at a later date. (7) The comparative prices available from other sources. (8) The disruption of established subcontracting arrangements. (9) Other pertinent factors. (f) The contracting officer shall attach sufficient data to the certificate of eligibility to support the determinations made. Available pertinent information shall be included on— (1) The contractor's past performance; (2) The relationship of the contractor's operations to performance schedules; and (3) Other factors listed in paragraph (e) above, if relevant to the case under consideration. (g) If the contracting officer determines that a certificate of eligibility is not justified, the facts and reasons supporting that conclusion shall be documented and furnished to the agency contract finance office. (h) The guaranteeing agency shall review the proposed guarantee terms and conditions. If they are considered appropriate, the guaranteeing agency shall complete a standard form of authorization as prescribed by the Federal Reserve Board. The agency shall transmit the authorization through the Federal Reserve Board to the Federal Reserve Bank. The Bank is authorized to execute and deliver to the financing institution a standard form of guarantee agreement, with the terms and conditions approved for the particular case. The financing institution will then make the loan. (i) Substantially the same procedure may be followed for the application of an offeror who is actively negotiating or bidding for a defense contract, except that the guarantee shall not be authorized until the contract has been executed. (j) The contracting officer shall report to the agency contract finance office any information about the contractor that would have a potentially adverse impact on a pending guarantee application. The contracting officer is not required, however, to initiate any special investigation for this purpose. (k) With regard to existing contracts, the agency shall not consider the percentage of guarantee requested by the financing institution in determining the contractor's eligibility."
32.304-3,Asset formula.,"(a) Under guaranteed loans made primarily for working capital purposes, the agency shall normally limit the guarantee, by use of an asset formula, to an amount that does not exceed a specified percentage (90 percent or less) of the contractor's investment (e.g., payrolls and inventories) in defense production contracts. The asset formula may include all items under defense contracts for which the contractor would be entitled to payment on performance or termination. The formula shall exclude— (1) Amounts for which the contractor has not done any work or made any expenditure; (2) Amounts that would become due as the result of later performance under the contracts; and (3) Cash collateral or bank deposit balances. (b) Progress payments are deducted from the asset formula. (c) The agency may relax the asset formula to an appropriate extent for the time actually necessary for contract performance, if the contractor's working capital and credit are inadequate."
32.304-4,Guarantee amount and maturity.,"The agency may change the guarantee amount or maturity date, within the limitations at 32.304-3, as follows: (a) If the contractor enters into additional defense production contracts after the application for, but before authorization of, a guarantee, the agency may adjust the loan guarantee amount or maturity date to meet any significant increase in financing need. (b) If the contractor enters into defense production contracts during the term of the guaranteed loan, the parties may adjust the existing guarantee agreement to provide for financing the new contracts. Pertinent information and the Federal Reserve Bank reports will be submitted to the guaranteeing agency under the procedures for the original guarantee application, described in 32.304-1. Normally, a new certificate of eligibility is required."
32.304-5,Assignment of claims under contracts.,"(a) The agency shall generally require a contractor that is provided a guaranteed loan to execute an assignment of claims under defense production contracts (including any contracts entered into during the term of the guaranteed loan that are eligible for financing under the loan); however, the agency need not require assignment if any of the following conditions are present: (1) The contractor's financial condition is so strong that the protection to the Government provided by an assignment of claims is unnecessary. (2) In connection with the assignment of claims under a major contract, the increased protection of the loan that would be provided by the assignments under additional, relatively smaller contracts is not considered necessary by the agency. (3) The assignment of claims would create an administrative burden disproportionate to the protection required; e.g., if the contractor has a large number of contracts with individually small dollar amounts. (b) The contractor shall also execute an assignment of claims if requested to do so by the guarantor or the financing institution. (c) A subcontract or purchase order issued to a subcontractor shall not be considered eligible for financing under guaranteed loans when the issuer of the subcontract or purchase order reserves (1) the privilege of making payments directly to the assignor or to the assignor and assignee jointly, after notice of the assignment, or (2) the right to reduce or set off assigned proceeds under defense production contracts by reason of claims against the borrower arising after notice of assignment and independently of defense production contracts under which the borrower is the seller."
32.304-6,Other collateral security.,"The following are examples of other forms of security that, although seldom invoked under guaranteed loans, may be required when considered necessary for protection of the Government interest: (a) Mortgages on fixed assets. (b) Liens against inventories. (c) Endorsements. (d) Guarantees. (e) Subordinations or standbys of other indebtedness."
32.304-7,Contract surety bonds and loan guarantees.,"(a) Contract surety bonds are incompatible with the Government's interests under guaranteed loans, unless the interests of the surety are subordinated to the guaranteed loan. (b) If a substantial share of the contractor's defense contracts are covered by surety bonds, or the amount of the bond is substantial in relation to the contractor's net worth, the agency shall not authorize the guarantee of a loan on a bonded contract unless the surety enters into an agreement with the financing institution to subordinate the surety's rights and claims in favor of the guaranteed loan. (c) The agency approval of a guarantee for a loan involving relatively substantial subcontracts covered by surety bonds shall also depend on the establishment of a reasonable allocation agreement between the sureties and the financing institution. The agreement should give the financing institution the benefit, with regard to payments to be made on the contract, of the portion of its loans fairly attributable to expenditures made under the bonded subcontracts before notice of default."
32.304-8,Other borrowing.,"(a) Because of the limitations under guaranteed loans, some contractors seek to supplement the loan by other borrowing (outside the guarantee) from the financing institution or other sources. It has been recognized in practice that, while prohibition of borrowings outside the guaranteed loan is preferable when practicable in a given V-loan case, such other borrowings should be permitted when necessary. (b) If the agency consents to the contractor obtaining other borrowing during the guaranteed loan period, the agency shall apply the following restrictions: (1) A reasonable limit on the amount of other borrowing. (2) If guaranteed and unguaranteed loans are made by the same financing institution, a requirement that any collateral security requested by the institution under the unguaranteed loan is also to be secondary collateral for the guaranteed loan. (3) A requirement that the contractor provide appropriate documentation to the guaranteeing agency, at intervals not longer than 30 days, to disclose outstanding unguaranteed borrowings."
32.305,Loan guarantees for terminated contracts.,"(a) The purpose of guaranteed loans; i.e., to provide for financing based on the borrower's recoverable investment in defense production contracts, may also apply to contracts that have been terminated (partially or totally) for the convenience of the Government. Guaranteed loans also may be made before such termination if it is known that termination of particular contracts for the convenience of the Government is about to occur. These loans are expected to provide necessary financing pending termination settlements and payments. They may also finance continuing performance of defense production contracts that are eligible for guaranteed loans. (b) The procedure for such guarantees is substantially the same as that outlined in 32.304, except that certificates of eligibility are not required for (1) contracts that have been totally terminated or (2) the terminated portion of contracts that have been partially terminated. The agency shall take precautions necessary to avoid Government losses and to ensure the loans will be self-liquidating from the proceeds of defense production contracts. (c) Loan guarantees for contract termination financing shall not be provided before specific contract terminations are certain."
32.306,Loan guarantees for subcontracts.,"If the request for a loan guarantee concerns a subcontractor that is financially weak in comparison with its contractor, the Government's interests may be fostered by the contractor making progress payments to the subcontractor. If so, the agency shall try to arrange for the contractor to provide the progress payments. As a result, the need for the loan guarantee may be reduced or eliminated and the contractor would bear part or all of the risk of loss arising from the selection of the subcontractor."
32.400,Scope of subpart.,"This subpart provides policies and procedures for advance payments on prime contracts and subcontracts. It does not include policies and procedures for advance payments for the types of transactions listed in 32.404. This subpart does not apply to commercial advance payments, which are subject to subpart 32.2."
32.401,Statutory authority.,"The agency may authorize advance payments in negotiated and sealed bid contracts if the action is appropriate under (a) 41 U.S.C. chapter 45; (b) 10 U.S.C. 2307; or (c) Pub. L. 85-804 (50 U.S.C. 1431-1435) and Executive Order 10789, November 14, 1958 (3 CFR 1958 Supp. pp. 72-74) (see Subpart 50.1 for other applications of this statute)."
32.402,General.,"(a) A limitation on authority to grant advance payments under Pub. L. 85-804 (50 U.S.C. 1431-1435) is described at 50.102-3(b)(4). (b) Advance payments may be provided on any type of contract; however, the agency shall authorize advance payments sparingly. Except for the contracts described in 32.403(a) and (b), advance payment is the least preferred method of contract financing (see 32.106) and generally they should not be authorized if other types of financing are reasonably available to the contractor in adequate amounts. Loans and credit at excessive interest rates or other exorbitant charges, or loans from other Government agencies, are not considered reasonably available financing. (c) If statutory requirements and standards for advance payment determinations are met, the contracting officer shall generally recommend that the agency authorize advance payments. (1) The statutory requirements are that— (i) The contractor gives adequate security; (ii) The advance payments will not exceed the unpaid contract price (see 32.410(b), subparagraph (a)(2)); and (iii) The agency head or designee determines, based on written findings, that the advance payment— (A) Is in the public interest (under 32.401(a) or (b)); or (B) Facilitates the national defense (under 32.401(c)). (2) The standards for advance payment determinations are that— (i) The advance payments will not exceed the contractor's interim cash needs based on— (A) Analysis of the cash flow required for contract performance; (B) Consideration of the reimbursement or other payment cycle; and (C) To the extent possible, employment of the contractor's own working capital; (ii) The advance payments are necessary to supplement other funds or credit available to a contractor; (iii) The recipient is otherwise qualified as a responsible contractor; (iv) The Government will benefit from performance prospects or there are other practical advantages; and (v) The case fits one or more of the categories described in 32.403. (d) If necessary, the agency may authorize advance payments in addition to progress or partial payments on the same contract (see 32.501-1(c)). (e) Each agency that provides advance payments shall— (1) Place the responsibility for making findings and determinations, and for approval of contract terms concerning advance payments (see 32.410), at an organizational level high enough to ensure uniform application of this subpart (see the limitation at 50.102-1(b) which also applies to advance payments authorized under Pub. L. 85-804 (50 U.S.C. 1431-1435)); and (2) Establish procedures for coordination, before advance payment authorization, with the activity that provides contract financing support. (f) If the contract provides for advance payments under Pub. L. 85-804, the contracting officer shall ensure conformance with the requirements of 50.103-7."
32.403,Applicability.,"Advance payments may be considered useful and appropriate for the following: (a) Contracts for experimental, research, or development work with nonprofit educational or research institutions. (b) Contracts solely for the management and operation of Government-owned plants. (c) Contracts for acquisition, at cost, of property for Government ownership. (d) Contracts of such a highly classified nature that the agency considers it undesirable for national security to permit assignment of claims under the contract. (e) Contracts entered into with financially weak contractors whose technical ability is considered essential to the agency. In these cases, the agency shall closely monitor the contractor's performance and financial controls to reduce the Government's financial risk. (f) Contracts for which a loan by a private financial institution is not practicable, whether or not a loan guarantee under this part is issued; for example, if— (1) Financing institutions will not assume a reasonable portion of the risk under a guaranteed loan; (2) Loans with reasonable interest rates or finance charges are not available to the contractor; or (3) Contracts involve operations so remote from a financial institution that the institution could not be expected to suitably administer a guaranteed loan. (g) Contracts with small business concerns, under which circumstances that make advance payments appropriate often occur (but see 32.104(b)). (h) Contracts under which exceptional circumstances make advance payments the most advantageous contract financing method for both the Government and the contractor."
