secno,cfr_subject,statement,subject,modality,action_verb,object,target
32.503-10,Establishing alternate liquidation rates.,(a) The contracting officer must ensure that the liquidation rate is— (1) High enough to result in Government recoupment of the applicable progress payments on each billing; and (2) Supported by documentation included in the administration office contract file.,rate,obligation,ensure,,file
32.503-10,Establishing alternate liquidation rates.,Each of these factors is discussed below: (1) The contracting officer must compute the expected progress payments by multiplying the estimated cost of performing the contract by the progress payment rate.,officer,obligation,compute,contract,rate
32.503-10,Establishing alternate liquidation rates.,"For purposes of computing the liquidation rate, the contracting officer may adjust the estimated cost and the contract price to include the estimated value of any work authorized but not yet priced and any projected economic adjustments; however, the contracting officer's adjustment must not exceed the Government's estimate of the price of all authorized work or the funds obligated for the contract.",funds,dispensation,exceed,estimate,contract
32.503-11,Adjustments for price reduction.,(b) The contracting officer shall also increase the unliquidated progress payments amount if the contractor makes an interim or voluntary price reduction under a redeterminable or incentive contract.,contractor,obligation,increase,reduction,contract
32.503-12,Maximum unliquidated amount.,(a) The contracting officer shall ensure that any excess of the unliquidated progress payments over the contractual limitation in paragraph (a) of the Progress Payments clause in the contract is promptly corrected through one or more of the following actions: (1) Increasing the liquidation rate.,excess,obligation,ensure,rate,actions
32.503-15,Application of Government title terms.,"(c) The contractor may sell or otherwise dispose of current production scrap in the ordinary course of business on its own volition, even if title has vested in the Government under the Progress Payments clause.",title,permission,sell,,clause
32.503-15,Application of Government title terms.,The contracting officer shall require the contractor to credit the costs of the contract performance with the proceeds of the scrap disposition.,officer,obligation,require,costs,disposition
32.503-15,Application of Government title terms.,"(d) When the title to materials or other inventories is vested in the Government under the Progress Payments clause, the contractor may transfer the inventory items from the contract for its own use or other disposition only if, and on terms, approved by the contracting officer.",contractor,permission,transfer,items,officer
32.503-16,Risk of loss.,"However, a serious loss may impede the satisfactory progress of contract performance, so that the contracting officer may need to act under paragraph (c)(5) of the Progress Payments clause.",officer,permission,impede,progress,clause
32.504,Subcontracts under prime contracts providing progress payments.,"Subcontracts for commercial purchases may include commercial item purchase financing terms, provided they meet the criteria in 32.202-1.",they,permission,include,criteria,32.202
32.504,Subcontracts under prime contracts providing progress payments.,"(b) The contractor's requests for progress payments may include the full amount of commercial item purchase financing payments, performance-based payments, or progress payments to a subcontractor, whether paid or unpaid, provided that unpaid amounts are limited to amounts determined due and that the contractor will pay— (1) In accordance with the terms and conditions of a subcontract or invoice; and (2) Ordinarily within 30 days of the submission of the contractor's progress payment request to the Government.",contractor,permission,include,amount,Government
32.504,Subcontracts under prime contracts providing progress payments.,"If the Government approves unusual progress payments for the subcontract, the contracting officer must issue a contract modification to specify the new rate in paragraph (j)(6) of the clause at 52.232-16, Progress Payments, in the prime contract.",officer,obligation,issue,rate,contract
32.504,Subcontracts under prime contracts providing progress payments.,"However, the contracting officer must ensure that the contractor has installed the necessary management control systems, including internal audit procedures.",contractor,obligation,ensure,systems,procedures
32.504,Subcontracts under prime contracts providing progress payments.,"The following exceptions apply to wording modifications: (1) The subcontract terms on title to property under progress payments shall provide for vesting of title in the Government, not the contractor, as in paragraph (d) of the Progress Payments clause in the prime contract.",terms,obligation,apply,contractor,contract
32.504,Subcontracts under prime contracts providing progress payments.,(3) The subcontract special terms regarding default shall include paragraph (h) of the Progress Payments clause in the contract through its subdivision (i).,terms,obligation,include,paragraph,subdivision
32.504,Subcontracts under prime contracts providing progress payments.,"(g) When financing payments are in the form of commercial item purchase financing, the subcontract must include a contract financing clause structured in accordance with 32.206.",subcontract,obligation,include,clause,32.206
32.602,Responsibilities.,"The contracting officer shall not collect contract debts or otherwise agree to liquidate contract debts ( e.g. , offset the amount of the debt against existing unpaid bills due the contractor, or allow contractors to retain contract debts to cover amounts that may become payable in future periods).",that,dispensation,collect,amounts,periods
32.603,Debt determination.,"(a) If the contracting officer has any indication that a contractor owes money to the Government under a contract, the contracting officer shall determine promptly whether an actual debt is due and the amount.",debt,obligation,determine,money,contract
32.603,Debt determination.,Any unnecessary delay may contribute to— (1) Loss of timely availability of the funds to the program for which the funds were initially provided; (2) Increased difficulty in collecting the debt; or (3) Actual monetary loss to the Government.,funds,permission,contribute,debt,Government
32.604,Demand for payment.,"(a) Except as provided in paragraph (c) of this section, the contracting officer shall take the following actions: (1) Issue the demand for payment as soon as the contracting officer has determined that an actual debt is due the Government and the amount.",debt,obligation,take,demand,Government
32.604,Demand for payment.,"(b) The demand for payment shall include the following: (1) A description of the debt, including the debt amount.",demand,obligation,include,following,amount
32.604,Demand for payment.,"If it is not practicable to identify all affected lines of accounting, the contracting officer may select representative lines of accounting in accordance with paragraph (b)(2)(ii) of this section.",officer,permission,select,lines,section
32.604,Demand for payment.,"(6) Notification that the payment office may initiate procedures, in accordance with the applicable statutory and regulatory requirements, to offset the debt against any payments otherwise due the contractor.",office,permission,,contractor,payments
32.604,Demand for payment.,(8) Notification that the contractor may submit a request for installment payments or deferment of collection if immediate payment is not practicable or if the amount is disputed.,amount,permission,,request,collection
32.604,Demand for payment.,"When the contractor provides the notification, the contracting officer shall notify the payment office of the overpayment.",officer,dispensation,notify,office,overpayment
32.604,Demand for payment.,"(d) If a demand for payment was not issued as provided for in paragraph (c) of this section, the contracting officer shall issue a demand for payment no sooner than 30 days after the contracting officer becomes aware of the debt unless— (1) The contractor has liquidated the debt; (2) The contractor has requested an installment payment agreement; or (3) The payment office has issued a demand for payment.",office,obligation,issue,demand,payment
32.605,Final decisions.,(a) The contracting officer shall issue a final decision as required by 33.211 if— (1) The contracting officer and the contractor are unable to reach agreement on the existence or amount of a debt in a timely manner; (2) The contractor fails to liquidate a debt previously demanded by the contracting officer within the timeline specified in the demand for payment unless the amounts were not repaid because the contractor has requested an installment payment agreement; or (3) The contractor requests a deferment of collection on a debt previously demanded by the contracting officer (see 32.607-2).,contractor,obligation,fails,32.607,officer
32.605,Final decisions.,"(b) If a demand for payment was previously issued for the debt, the demand for payment included in the final decision shall identify the same due date as the original demand for payment.",demand,obligation,identify,date,payment
32.606,Debt collection.,"(a) If the contractor has not liquidated the debt within 30 days of the date due or requested installment payments or deferment of collection, the payment office shall initiate withholding of principal, interest, penalties, and administrative charges.",office,obligation,initiate,withholding,principal
32.606,Debt collection.,(c) The contracting officer shall periodically follow up with the payment office to determine whether the debt has been collected and credited to the correct appropriation(s).,debt,obligation,follow,,appropriation(s
32.607,Installment payments and deferment of collection.,(b) If a contractor has not appealed the debt or filed an action under the Disputes clause of the contract and the contractor has submitted a proposal for debt deferment or installment payments— (1) The office designated in agency procedures may arrange for deferment/installment payments if the contractor is unable to pay at once in full or the contractor's operations under national defense contracts would be seriously impaired.,contractor,permission,be,proposal,contracts
32.607,Installment payments and deferment of collection.,The arrangement shall include appropriate covenants and securities and should be limited to the shortest practicable maturity; and (2) The deferment/installment agreement shall include a specific schedule or plan for payment.,agreement,obligation,include,schedule,payment
32.607,Installment payments and deferment of collection.,It should permit the Government to make periodic financial reviews of the contractor and to require payments earlier than required by the agreement if the Government considers the contractor's ability to pay improved.,ability,obligation,permit,payments,agreement
32.607,Installment payments and deferment of collection.,It should also provide for required stated or measurable payments on the occurrence of specific events or contingencies that improve the contractor's ability to pay.,that,obligation,provide,ability,events
32.607-1,Installment payments.,"If a contractor requests an installment payment agreement, the contracting officer shall notify the contractor to send a written request for installment payments to the office designated in agency procedures.",officer,dispensation,notify,request,procedures
32.607-2,Deferment of collection.,"(b) Upon receipt of the contractor's written request, the contracting officer shall promptly provide a notification to the payment office and advise the payment office that the contractor's request is under consideration.",request,obligation,provide,office,consideration
32.607-2,Deferment of collection.,The contracting officer should consider any information necessary to develop a recommendation on the deferment request.,information,obligation,consider,recommendation,request
32.607-2,Deferment of collection.,(2) The contracting officer shall forward the following to the office designated in agency procedures for a decision: (i),officer,obligation,forward,following,decision
32.607-2,Deferment of collection.,(d) The office designated in agency procedures may authorize a deferment pending the resolution of appeal to avoid possible overcollections.,office,permission,authorize,overcollections,appeal
32.607-2,Deferment of collection.,"(g) At a minimum, the deferment agreement shall contain the following: (1) A description of the debt.",agreement,obligation,contain,following,debt
32.607-2,Deferment of collection.,"If a contractor appeal of the debt determination is pending, the deferment agreement shall also include a requirement that the contractor shall— (1) Diligently prosecute the appeal; and (2) Pay the debt in full when the appeal is decided, or when the parties reach agreement on the debt amount.",parties,obligation,include,agreement,amount
32.607-2,Deferment of collection.,"The deferment agreement may provide for the right to make early payments without prejudice, for refund of overpayments, and for crediting of interest.",agreement,permission,provide,payments,interest
32.608-1,Interest charges.,"Unless specified otherwise in the clause at 52.232-17, Interest, interest charges shall apply to any contract debt unpaid after 30 days from the issuance of a demand unless— (a) The contract is a kind excluded under 32.611; or (b) The contract or debt has been exempted from interest charges under agency procedures.",contract,obligation,apply,,procedures
32.610,Compromising debts.,"For debts under $100,000, excluding interest, the designated agency official may compromise the debt pursuant to the Federal Claims Collection Standards (31 CFR part 902) and agency regulations.",official,permission,compromise,debt,Standards
32.611,Contract clause.,"(a) The contracting officer shall insert the clause at 52.232—17, Interest, in solicitations and contracts unless it is contemplated that the contract will be in one or more of the following categories: (1) Contracts at or below the simplified acquisition threshold.",contract,obligation,insert,clause,threshold
32.611,Contract clause.,"(b) The contracting officer may insert the FAR clause at 52.232-17, Interest, in solicitations and contracts when it is contemplated that the contract will be in any of the categories specified in 32.611(a).",contract,permission,insert,Interest,32.611(a
32.703-2,Contracts conditioned upon availability of funds.,"The contracting officer may initiate a contract action properly chargeable to funds of the new fiscal year before these funds are available, provided that the contract includes the clause at 52.232-18, Availability of Funds (see 32.706-1(a)).",contract,permission,initiate,clause,Funds
32.703-2,Contracts conditioned upon availability of funds.,"A one-year indefinite-quantity or requirements contract for services that is funded by annual appropriations may extend beyond the fiscal year in which it begins; provided, that (1) any specified minimum quantities are certain to be ordered in the initial fiscal year (see 37.106) and (2) the contract includes the clause at 52.232-19, Availability of Funds for the Next Fiscal Year (see 32.706-1(b)).",contract,permission,extend,Availability,Year
32.703-3,Contracts crossing fiscal years.,"(a) A contract that is funded by annual appropriations may not cross fiscal years, except in accordance with statutory authorization (e.g., 41 U.S.C. 6302, 31 U.S.C. 1308, 42 U.S.C. 2459a, 42 U.S.C. 3515, and paragraph (b) of this subsection), or when the contract calls for an end product that cannot feasibly be subdivided for separate performance in each fiscal year (e.g., contracts for expert or consultant services).",that,dispensation,cross,years,services
32.704,Limitation of cost or funds.,"Additional funds have been allotted, or the estimated cost has been increased, in a specified amount; (ii) The contract is not to be further funded and that the contractor should submit a proposal for an adjustment of fee, if any, based on the percentage of work completed in relation to the total work called for under the contract; (iii) The contract is to be terminated; or (iv)(A)",contract,obligation,allot,proposal,contract
32.704,Limitation of cost or funds.,"(2) Upon learning that a partially funded contract containing any of the clauses referenced in subparagraph (1) above will receive no further funds, the contracting officer shall promptly give the contractor written notice of the decision not to provide funds.",officer,obligation,give,funds,decision
32.704,Limitation of cost or funds.,"(b) Under a cost-reimbursement contract, the contracting officer may issue a change order, a direction to replace or repair defective items or work, or a termination notice without immediately increasing the funds available.",officer,permission,issue,funds,contract
32.704,Limitation of cost or funds.,"Since a contractor is not obligated to incur costs in excess of the estimated cost in the contract, the contracting officer shall ensure availability of funds for directed actions.",officer,obligation,ensure,availability,actions
32.704,Limitation of cost or funds.,The contracting officer may direct that any increase in the estimated cost or amount allotted to a contract be used for the sole purpose of funding termination or other specified expenses.,increase,permission,direct,,termination
32.704,Limitation of cost or funds.,(c) Government personnel encouraging a contractor to continue work in the absence of funds will incur a violation of Revised Statutes Section 3679 (31 U.S.C. 1341) that may subject the violator to civil or criminal penalties.,that,permission,incur,violator,penalties
32.705,Unenforceability of unauthorized obligations.,"These are particularly common in information technology acquisitions, but they may apply to any supply or service.",they,permission,are,,supply
32.705,Unenforceability of unauthorized obligations.,"Many of these agreements contain indemnification clauses that are inconsistent with Federal law and unenforceable, but which could create a violation of the Anti-Deficiency Act (31 U.S.C. 1341) if agreed to by the Government.",which,permission,contain,violation,Government
32.706-1,Clauses for contracting in advance of funds.,"(b) The contracting officer shall insert the clause at 52.232-19, Availability of Funds for the Next Fiscal Year, in solicitations and contracts if a one-year indefinite-quantity or requirements contract for services is contemplated and the contract— (1) Is funded by annual appropriations; and (2) Is to extend beyond the initial fiscal year (see 32.703-2(b)).",contract,obligation,insert,2(b,year
32.706-2,Clauses for limitation of cost or funds.,"(a) The contracting officer shall insert the clause at 52.232-20, Limitation of Cost, in solicitations and contracts if a fully funded cost-reimbursement contract is contemplated, whether or not the contract provides for payment of a fee.",contract,obligation,insert,clause,fee
32.706-2,Clauses for limitation of cost or funds.,"(b) The contracting officer shall insert the clause at 52.232-22, Limitation of Funds, in solicitations and contracts if an incrementally funded cost-reimbursement contract is contemplated.",contract,obligation,insert,Limitation,solicitations
32.706-3,Clause for unenforceability of unauthorized obligations.,"The contracting officer shall insert the clause at 52.232-39, Unenforceability of Unauthorized Obligations in all solicitations and contracts.",officer,obligation,insert,Unenforceability,solicitations
32.802,Conditions.,"Under the Assignment of Claims Act, a contractor may assign moneys due or to become due under a contract if all the following conditions are met: (a) The contract specifies payments aggregating $1,000 or more.",contract,permission,specifies,"1,000",contract
32.803,Policies.,(b) A contract may prohibit the assignment of claims if the agency determines the prohibition to be in the Government's interest.,prohibition,permission,prohibit,assignment,interest
32.803,Policies.,The following guidance has been provided: Use of the no-setoff provision may be appropriate to facilitate the national defense; in the event of a national emergency or natural disaster; or when the use of the no-setoff provision may facilitate private financing of contract performance.,use,permission,be,financing,performance
32.803,Policies.,"However, in the event an offeror is significantly indebted to the United States, the contracting officer should consider whether the inclusion of the no-setoff commitment in a particular contract is in the best interests of the United States.",inclusion,obligation,consider,,States
32.803,Policies.,"In such an event, the contracting officer should consult with the Government officer(s) responsible for collecting the debt(s).",officer,obligation,consult,debt(s,officer(s
32.805,Procedure.,"In examining and processing notices of assignment and before acknowleging their receipt, contracting officers should assure that the following conditions and any additional conditions specified in agency regulations, have been met: (1) The contract has been properly approved and executed.",contract,obligation,assure,receipt,regulations
32.806,Contract clauses.,"The contracting officer shall insert the clause at 52.232-23, Assignment of Claims, in solicitations and contracts expected to exceed the micro-purchase threshold, unless the contract will prohibit the assignment of claims (see 32.803(b)).",contract,obligation,insert,32.803(b,claims
32.806,Contract clauses.,"(2) If a no-setoff commitment has been authorized (see FAR 32.803(d)), the contracting officer shall use the clause with its Alternate I. (b) The contracting officer shall insert the clause at 52.232-24, Prohibition of Assignment of Claims, in solicitations and contracts for which a determination has been made under agency regulations that the prohibition of assignment of claims is in the Government's interest.",prohibition,obligation,use,clause,interest
32.903,Responsibilities.,"(b) When drafting solicitations and contracts, contracting officers must identify for each line item number, subline item number, or exhibit line item number— (1) The applicable Prompt Payment clauses that apply to each item when the solicitation or contract contains items that will be subject to different payment terms; and (2) The applicable Prompt Payment food category ( e.g., which item numbers are meat or meat food products, which are perishable agricultural commodities), when the solicitation or contract contains multiple payment terms for various classes of foods and edible products.",solicitation,obligation,identify,terms,foods
32.904,Determining payment due dates.,"Agency procedures must ensure that, when specifying due dates, contracting officers give full consideration to the time reasonably required by Government officials to fulfill their administrative responsibilities under the contract.",officers,obligation,ensure,responsibilities,contract
32.904,Determining payment due dates.,"Except for a contract for the purchase of a commercial item, including a brand-name commercial item for authorized resale ( e.g., commissary items), the contracting officer may specify a longer period for constructive acceptance in the solicitation and resulting contract, if required to afford the Government a reasonable opportunity to inspect and test the supplies furnished or to evaluate the services performed.",supplies,permission,specify,services,solicitation
32.904,Determining payment due dates.,The contracting officer must document in the contract file the justification for extending the constructive acceptance period beyond 7 days.,officer,obligation,document,period,days
32.904,Determining payment due dates.,"(2) If the contract does not require submission of an invoice for payment ( e.g., periodic lease payments), the contracting officer must specify the due date in the contract.",officer,obligation,specify,date,contract
32.904,Determining payment due dates.,"The contracting officer may specify a longer period for constructive acceptance or constructive approval, if required to afford the Government a reasonable opportunity to inspect and test the supplies furnished or to evaluate the services performed.",supplies,permission,specify,services,acceptance
32.904,Determining payment due dates.,The contracting officer must document in the contract file the justification for extending the constructive acceptance or approval period beyond 7 days.,officer,obligation,document,period,days
32.904,Determining payment due dates.,The contracting officer may specify a longer period in the solicitation and resulting contract if required to afford the Government a reasonable opportunity to adequately inspect the work and to determine the adequacy of the contractor's performance under the contract.,officer,permission,specify,adequacy,contract
32.904,Determining payment due dates.,The contracting officer must document in the contract file the justification for extending the due date beyond 14 days.,officer,obligation,document,date,days
32.904,Determining payment due dates.,The contracting officer must base the release of retained amounts on the contracting officer's determination that satisfactory progress has been made.,progress,obligation,base,release,determination
32.904,Determining payment due dates.,"The contracting officer may specify a longer period for constructive acceptance or constructive approval in the solicitation and resulting contract, if required to afford the Government a reasonable opportunity to adequately inspect the work and to determine the adequacy of the contractor's performance under the contract.",officer,permission,specify,adequacy,contract
32.904,Determining payment due dates.,The contracting officer must document in the contract file the justification for extending the constructive acceptance or approval beyond 7 days.,officer,obligation,document,acceptance,days
32.904,Determining payment due dates.,"For purposes of computing late payment interest penalties that may apply, the due date for making interim payments on cost-reimbursement contracts for services is 30 days after the date of receipt of a proper invoice.",date,permission,is,payments,invoice
32.904,Determining payment due dates.,"Contracting officers may encourage, but not require, contractors to submit separate invoices for products with different payment due dates under the same contract or order.",contractors,permission,encourage,invoices,contract
32.905,Payment documentation and process.,(1) A proper invoice must include the following items (except for interim payments on cost reimbursement contracts for services): (i) Name and address of the contractor.,invoice,obligation,include,items,contractor
32.905,Payment documentation and process.,(Contractors should date invoices as close as possible to the date of mailing or transmission.),Contractors,obligation,date,invoices,mailing
32.905,Payment documentation and process.,The contractor must include its TIN on the invoice only if required by agency procedures.,contractor,obligation,include,TIN,procedures
32.905,Payment documentation and process.,The contractor must include EFT banking information on the invoice only if required by agency procedures.,contractor,obligation,include,information,procedures
32.905,Payment documentation and process.,"(3) If the invoice does not comply with these requirements, the designated billing office must return it within 7 days after receipt (3 days on contracts for meat, meat food products, or fish; 5 days on contracts for perishable agricultural commodities, dairy products, edible fats or oils, and food products prepared from edible fats or oils), with the reasons why it is not a proper invoice.",it,obligation,return,it,reasons
32.905,Payment documentation and process.,"If such notice is not timely, then the designated billing office must adjust the due date for the purpose of determining an interest penalty, if any.",office,obligation,adjust,penalty,purpose
32.905,Payment documentation and process.,"The agency receiving official should forward the receiving report or other Government documentation to the designated payment office by the 5th working day after Government acceptance or approval, unless other arrangements have been made.",arrangements,obligation,forward,report,acceptance
32.905,Payment documentation and process.,The designated billing office must immediately annotate each invoice with the actual date it receives the invoice.,it,obligation,annotate,invoice,date
32.906,Making payments.,"When the discount date falls on a Saturday, Sunday, or legal holiday when Government offices are closed, the designated payment office may make payment on the following working day and take a discount.",office,permission,make,discount,day
32.907,Interest penalties.,(2)(i) Contractors must support written demands for additional penalty payments with the following data.,Contractors,obligation,support,demands,data
32.907,Interest penalties.,"(2) The Government and the contractor must resolve claims involving disputes, and any interest that may be payable in accordance with the Disputes clause.",that,obligation,resolve,disputes,clause
32.908,Contract clauses.,"(1) As authorized in 32.904(c)(2), the contracting officer may modify the date in paragraph (a)(4)(i) of the clause to specify a period longer than 7 days for constructive acceptance or constructive approval, if required to afford the Government a practicable opportunity to inspect and test the supplies furnished or evaluate the services performed.",supplies,permission,modify,services,acceptance
32.908,Contract clauses.,"(2) As provided in 32.903, agency policies and procedures may authorize amendment of paragraphs (a)(1)(i) and (ii) of the clause to insert a period shorter than 30 days (but not less than 7 days) for making contract invoice payments.",policies,permission,authorize,payments,clause
32.908,Contract clauses.,"(1) As authorized in 32.904(d)(1)(i)(B), the contracting officer may modify the date in paragraph (a)(1)(i)(A) of the clause to specify a period longer than 14 days if required to afford the Government a reasonable opportunity to adequately inspect the work and to determine the adequacy of the Contractor's performance under the contract.",officer,permission,modify,adequacy,contract
32.908,Contract clauses.,"(2) As authorized in 32.904(d)(2)(iv), the contracting officer may modify the date in paragraph (a)(4)(i) of the clause to specify a period longer than 7 days for constructive acceptance or constructive approval if required to afford the Government a reasonable opportunity to inspect and test the supplies furnished or evaluate the services performed.",supplies,permission,modify,services,acceptance
32.908,Contract clauses.,"(1) As authorized in 32.904(b)(1)(ii)(B)( 4 ), the contracting officer may modify the date in paragraph (a)(5)(i) of the clause to specify a period longer than 7 days for constructive acceptance, if required to afford the Government a reasonable opportunity to inspect and test the supplies furnished or to evaluate the services performed, except in the case of a contract for the purchase of a commercial item, including a brand-name commercial item for authorized resale ( e.g., commissary items).",supplies,permission,modify,services,resale
32.908,Contract clauses.,"(2) As provided in 32.903, agency policies and procedures may authorize amendment of paragraphs (a)(1)(i) and (ii) of the clause to insert a period shorter than 30 days (but not less than 7 days) for making contract invoice payments.",policies,permission,authorize,payments,clause
32.909,Contractor inquiries.,The contracting officer must coordinate within appropriate contracting channels and seek the advice of other offices as necessary to resolve disagreements.,officer,obligation,coordinate,disagreements,offices
32.909,Contractor inquiries.,"(b) Small business concerns may contact the agency's local small business specialist or representative from the Office of Small and Disadvantaged Business Utilization to obtain additional assistance related to payment issues, late payment interest penalties, and information on the Prompt Payment Act.",concerns,permission,contact,penalties,Act
32.1003,Criteria for use.,"The contracting officer may use performance-based payments for individual orders and contracts provided— (a) The contracting officer and offeror agree on the performance-based payment terms; (b) The contract, individual order, or line item is a fixed-price type; (c) For indefinite delivery contracts, the individual order does not provide for progress payments; and (d) For other than indefinite delivery contracts, the contract does not provide for progress payments.",contract,permission,provide,payments,payments
32.1004,Procedures.,A contract may provide for more than one series of severable and/or cumulative performance events or criteria performed in parallel.,contract,permission,provide,,parallel
32.1004,Procedures.,The contracting officer shall include the following in the contract: (i),officer,obligation,include,following,contract
32.1004,Procedures.,The contract shall specifically identify severable events or criteria.,contract,obligation,identify,events,
32.1004,Procedures.,(iii) The contract shall specifically identify cumulative events or criteria and identify which events or criteria are preconditions for the successful achievement of each event or criterion.,events,obligation,identify,events,event
32.1004,Procedures.,"(1) The contracting officer shall establish a complete, fully defined schedule of events or performance criteria and payment amounts when negotiating contract terms.",officer,obligation,establish,terms,events
32.1004,Procedures.,"If a contract action significantly affects the price, or event or performance criterion, the contracting officer responsible for pricing the contract modification shall adjust the performance-based payment schedule appropriately.",modification,obligation,adjust,schedule,
32.1004,Procedures.,"(3) The contract shall specifically state the amount of each performance-based payment either as a dollar amount or as a percentage of a specifically identified price (e.g., contract price or unit price of the deliverable item).",contract,obligation,state,amount,item
32.1004,Procedures.,"Because the contracting officer has wide discretion as to the timing and amount of the performance-based payments, the contracting officer shall ensure that— (i)",officer,obligation,ensure,that,payments
32.1004,Procedures.,"To confirm sufficient investment, the contracting officer may request expenditure profile information from offerors, but only if other information in the proposal, or information otherwise available to the contracting officer, is expected to be insufficient.",information,permission,request,information,officer
32.1004,Procedures.,"(4) Unless agency procedures prescribe the bases for establishing performance-based payment amounts, contracting officers may establish them on any rational basis, including (but not limited to)— (i) Engineering estimates of stages of completion; (ii) Engineering estimates of hours or other measures of effort to be expended in performance of an event or achievement of a performance criterion; or (iii) The estimated projected cost of performance of particular events.",officers,permission,establish,estimates,events
32.1004,Procedures.,"(5) When subsequent contract modifications are issued, the contracting officer shall adjust the performance-based payment schedule as necessary to reflect the actions required by those contract modifications.",officer,obligation,adjust,actions,modifications
32.1004,Procedures.,"If there is more than one appropriation account (or subaccount) funding payments on the contract, the contracting officer shall provide instructions to the Government payment office for distribution of financing payments to the respective funds accounts.",officer,obligation,provide,instructions,accounts
32.1004,Procedures.,The contracting officer shall specify the liquidation rate or designated dollar amount in the contract.,officer,obligation,specify,rate,contract
32.1004,Procedures.,The method of liquidation shall ensure complete liquidation no later than final payment.,method,obligation,ensure,liquidation,payment
32.1004,Procedures.,"(1) If a solicitation requests offerors to propose performance-based payments, the solicitation shall specify— (i)",solicitation,obligation,specify,i,
32.1004,Procedures.,"Unless agencies prescribe other evaluation procedures, if the contracting officer anticipates that the cost of providing performance-based payments would have a significant impact on determining the best value offer, the solicitation should state that the evaluation of the offeror's proposed prices will include an adjustment to reflect the estimated cost to the Government of providing each offeror's proposed performance-based payments (see Alternate I to the provision at 52.232-28).",evaluation,obligation,state,I,28
32.1005,Solicitation provision and contract clause.,"(a) Insert the clause at 52.232-32, Performance-Based Payments, in— (1) Solicitations that may result in contracts providing for performance-based payments; and (2) Fixed-price contracts under which the Government will provide performance-based payments.",Government,permission,Insert,payments,which
32.1007,Administration and payment of performance-based payments.,The contracting officer responsible for administering performance-based payments ( see 42.302(a)(13)) for the contract shall review and approve all performance-based payments for that contract.,officer,obligation,review,payments,contract
32.1007,Administration and payment of performance-based payments.,"Unless otherwise provided in agency regulations, or by agreement with the appropriate payment official— (1) The contracting officer shall be responsible for receiving, approving, and transmitting all performance-based payment requests to the appropriate payment office; and (2) Each approval shall specify the amount to be paid, necessary contractual information, and the appropriation account(s) (see 32.1004(c)) to be charged for the payment.",approval,obligation,be,32.1004(c,payment
32.1007,Administration and payment of performance-based payments.,"The contracting officer should consider the contractor's experience, performance record, reliability, financial strength, and the adequacy of controls established by the contractor for the administration of performance-based payments.",officer,obligation,consider,experience,payments
32.1007,Administration and payment of performance-based payments.,"However, if there is a Government-caused delay, the contracting officer may renegotiate the performance-based payment schedule to facilitate contractor billings for any successfully accomplished portions of the delayed event or criterion.",officer,permission,renegotiate,billings,event
32.1008,Suspension or reduction of performance-based payments.,"The contracting officer shall apply the policy and procedures in paragraphs (a), (b), (c), and (e) of 32.503-6, Suspension or reduction of payments, whenever exercising the Government's rights to suspend or reduce performance-based payments in accordance with paragraph (e) of the clause at 52.232-32, Performance-Based Payments.",officer,obligation,apply,payments,Payments
32.1009,Title.,"(a) Since the clause at 52.232-32, Performance-Based Payments, gives the Government title to the property described in paragraph (f) of the clause, the contracting officer shall ensure that the Government title is not compromised by other encumbrances.",title,obligation,ensure,title,encumbrances
32.1009,Title.,"(b) If the contracting officer becomes aware of any arrangement or condition that would impair the Government's title to the property affected by the Performance-Based Payments clause, the contracting officer shall require additional protective provisions.",officer,obligation,require,provisions,clause
32.1009,Title.,"In addition, if the contractor fails to disclose an existing encumbrance in the certification, the contracting officer should consult with legal counsel concerning possible violation of 31 U.S.C. 3729, the False Claims Act.",officer,obligation,consult,encumbrance,U.S.C.
32.1010,Risk of loss.,"However, a serious loss may impede the satisfactory progress of contract performance, so that the contracting officer may need to act under paragraph (e)(2) of the Performance-Based Payments clause.",officer,permission,impede,progress,clause
32.1010,Risk of loss.,"In addition, while the contractor is not required to repay previous performance-based payments in the event of a loss for which the Government has assumed the risk, such a loss may prevent the contractor from making the certification required by the Performance-Based Payments clause.",loss,permission,prevent,certification,clause
32.1103,Applicability.,"To the extent authorized by 31 CFR part 208, the payment office shall make necessary payments pursuant to paragraph (a)(2) of the clause at either 52.232-33 or 52.232-34 until such time as it can make EFT payments; (b) The payment is to be received by or on behalf of the contractor outside the United States and Puerto Rico (but see 32.1106(b)); (c) A contract is paid in other than United States currency (but see 32.1106(b)); (d) Payment by EFT under a classified contract could compromise the safeguarding of classified information or national security, or arrangements for appropriate EFT payments would be impractical due to security considerations; (e) A contract is awarded by a deployed contracting officer in the course of military operations, including, but not limited to, contingency operations as defined in 2.101, or a contract is awarded by any contracting officer in the conduct of emergency operations, such as responses to natural disasters or national or civil emergencies, if— (1) EFT is not known to be possible; or (2) EFT payment would not support the objectives of the operation; (f) The agency does not expect to make more than one payment to the same recipient within a one-year period; (g) An agency's need for supplies and services is of such unusual and compelling urgency that the Government would be seriously injured unless payment is made by a method other than EFT; (h)",payment,obligation,is,payment,EFT
32.1106,EFT mechanisms.,"However, the head of an agency may authorize the use of any other EFT mechanism for domestic EFT with the concurrence of the office or agency responsible for making payments.",head,permission,authorize,payments,office
